"animal_id","water_year","first_detection_startup_1","last_detection_startup_1","last_detection_startup_2","first_detection_endup","route_cluster","migration_binary","migration_type","last_detection_startup","HMC_mean_discharge","VON_mean_discharge","migration_duration","mean_temp_after_1week","mean_temp_before_1week"
"UCDHIST-GS0160-2004-08-11",2008,2008-03-12 01:18:21,2008-03-28 16:44:22,2008-04-11 04:04:36,NA,NA,0,"up",2008-04-11 04:04:36,NA,NA,NA,62.2406314714286,58.5535714271429
"UCDHIST-GS0162-2004-08-13",2007,2007-05-10 20:35:21,2007-05-13 09:37:53,2007-05-18 13:04:01,2007-06-15 08:13:42,1,1,"up",2007-05-18 13:04:01,7392.48148148148,9241.81481481482,27.7983912037037,NA,NA
"UCDHIST-GS0192-2005-08-05",2008,2008-02-20 18:58:27,2008-02-22 16:11:52,2008-02-23 17:48:31,2008-03-10 09:20:23,1,1,"up",2008-02-23 17:48:31,10734.75,23074,15.6471296296296,51.4261904757143,48.2951863342857
"UCDHIST-GS0197-2005-08-08",2009,2009-07-10 07:55:19,2009-09-30 14:34:45,2009-08-02 08:50:17,NA,NA,0,"up",2009-08-02 08:50:17,NA,NA,NA,69.8434523814286,71.2732142842857
"UCDHIST-GS0197-2005-08-08",2010,2009-10-01 04:53:59,2010-03-14 16:42:28,2010-03-15 05:20:34,2010-04-20 00:30:53,1,1,"up",2010-03-15 05:20:34,7858.66666666667,14888.1111111111,35.7988310185185,56.1773809528571,53.72795031
"UCDHIST-GS0198-2005-08-08",2007,2007-08-01 18:02:17,2007-08-15 12:30:50,2007-08-19 02:59:01,NA,NA,0,"up",2007-08-19 02:59:01,7507,15065,NA,71.4866977228571,70.2538984557143
"UCDHIST-GS0198-2005-08-08",2009,2009-07-10 02:04:54,2009-09-06 15:36:38,2009-08-27 02:59:57,NA,NA,0,"up",2009-08-27 02:59:57,7118,13033,NA,71.9928571442857,71.2726190485714
"UCDHIST-GS0201-2005-08-11",2007,2007-04-26 22:17:30,2007-05-19 01:43:41,2007-05-12 08:28:38,NA,NA,0,"up",2007-05-12 08:28:38,7375,8543,NA,NA,NA
"UCDHIST-GS0205-2005-08-13",2009,2009-07-08 15:59:51,2009-09-01 21:49:15,2009-08-31 06:45:04,NA,NA,0,"up",2009-08-31 06:45:04,6525,13275,NA,71.3696428571428,71.5291666685714
"UCDHIST-GS0208-2005-08-21",2009,2009-06-27 06:20:34,2009-08-11 23:07:14,2009-08-09 15:56:51,NA,NA,0,"up",2009-08-09 15:56:51,NA,NA,NA,71.7828933757143,69.7791666671429
