"gauge","date","flow_cfs"
"HMC",2006-08-01,11915
"HMC",2006-08-02,12075
"HMC",2006-08-03,12232
"HMC",2006-08-04,11670
"HMC",2006-08-05,11674
"HMC",2006-08-06,11798
"HMC",2006-08-07,11712
"HMC",2006-08-08,11711
"HMC",2006-08-09,11664
"HMC",2006-08-10,11806
"HMC",2006-08-11,11705
"HMC",2006-08-12,11322
"HMC",2006-08-13,11364
"HMC",2006-08-14,11439
"HMC",2006-08-15,11028
"HMC",2006-08-16,10870
"HMC",2006-08-17,10718
"HMC",2006-08-18,10805
"HMC",2006-08-19,10918
"HMC",2006-08-20,11065
"HMC",2006-08-21,11176
"HMC",2006-08-22,11109
"HMC",2006-08-23,10995
"HMC",2006-08-24,10682
"HMC",2006-08-25,10367
"HMC",2006-08-26,9776
"HMC",2006-08-27,9766
"HMC",2006-08-28,9869
"HMC",2006-08-29,9726
"HMC",2006-08-30,9539
"HMC",2006-08-31,9521
"HMC",2006-09-01,9670
"HMC",2006-09-02,9789
"HMC",2006-09-03,9885
"HMC",2006-09-04,9841
"HMC",2006-09-05,9843
"HMC",2006-09-06,9921
"HMC",2006-09-07,9774
"HMC",2006-09-08,9208
"HMC",2006-09-09,9416
"HMC",2006-09-10,9719
"HMC",2006-09-11,9577
"HMC",2006-09-12,9728
"HMC",2006-09-13,9623
"HMC",2006-09-14,9252
"HMC",2006-09-15,9752
"HMC",2006-09-16,9894
"HMC",2006-09-17,9988
"HMC",2006-09-18,9665
"HMC",2006-09-19,9306
"HMC",2006-09-20,9291
"HMC",2006-09-21,9073
"HMC",2006-09-22,9101
"HMC",2006-09-23,9108
"HMC",2006-09-24,9171
"HMC",2006-09-25,8897
"HMC",2006-09-26,8325
"HMC",2006-09-27,7979
"HMC",2006-09-28,7779
"HMC",2006-09-29,7625
"HMC",2006-09-30,7631
"HMC",2006-10-01,7586
"HMC",2006-10-02,7720
"HMC",2006-10-03,7563
"HMC",2006-10-04,7500
"HMC",2006-10-05,7566
"HMC",2006-10-06,7515
"HMC",2006-10-07,7344
"HMC",2006-10-08,7218
"HMC",2006-10-09,7174
"HMC",2006-10-10,7058
"HMC",2006-10-11,6691
"HMC",2006-10-12,6509
"HMC",2006-10-13,6473
"HMC",2006-10-14,6451
"HMC",2006-10-15,6451
"HMC",2006-10-16,6338
"HMC",2006-10-17,6255
"HMC",2006-10-18,6202
"HMC",2006-10-19,6107
"HMC",2006-10-20,6052
"HMC",2006-10-21,5981
"HMC",2006-10-22,5922
"HMC",2006-10-23,5913
"HMC",2006-10-24,5831
"HMC",2006-10-25,5723
"HMC",2006-10-26,5661
"HMC",2006-10-27,5717
"HMC",2006-10-28,5663
"HMC",2006-10-29,5631
